id,dishName,restaurantID,course,diet,price
1018,Oriental Salad,134,Portuguese Food,Vegetarian,630
1019,Syphone Seltzer or Vichy,259,Algerian Food,Non-Vegetarian,200
1020,Meat Salad Piquante,466,Latvian Food,Vegetarian,510
1021,Breaded Shrimps On Toast,50,Kenyan Food,Non-Vegetarian,180
1022,"GREEN APPLE FRITTERS, FRUIT SAUCE",169,Libyan Food,Vegetarian,440
1023,Bleu d'Auvergne,242,Tahitian Food,Vegetarian,560
1024,"Home made fish cakes, tomato sauce",612,Cuban Food,Vegetarian,710
1025,"Boiled Lamb, Mashed Turnips",738,Libyan Food,Non-Vegetarian,160
1026,"Fillet of Sole, Dieppoise",136,Salvadorian Food,Vegetarian,730
1027,"Geflugelsalat ""Escoffier"", Melbatoast und Butter",293,Japanese Food,Non-Vegetarian,190
1028,House of Lord,627,Tahitian Food,Vegetarian,680
1029,Tournedos a la Ventadour,135,Scottish Food,Non-Vegetarian,700
1030,Carre Potatoes,329,Cuban Food,Vegetarian,380
1031,Bundnerfleisch und Bundner Rohschinken,210,Scottish Food,Vegetarian,620
1032,"broiled lobster, maitre d'hotel",286,Belgian Foods,Non-Vegetarian,650
1033,"Small Tenderloin Steak, ala Stanley",350,Brazilian Food,Non-Vegetarian,690
1034,Cold Meats- Served with Potato Salad,236,Turkish Food,Vegetarian,170
1035,Chateau Phelan Segur 1957,436,Mexican Food,Vegetarian,730
1036,Thick Slice of Ham with Glazed Pineapple,17,German Food,Non-Vegetarian,360
1037,Potatoes Risollee,457,Korean Food,Non-Vegetarian,470
1038,Filet de sole au champagne,608,Cuban Food,Vegetarian,530
1039,"Brandenburg Frere's Latour Blanche, 1874",290,Latvian Food,Non-Vegetarian,150
1040,Idaho baked potato,405,Japanese Food,Vegetarian,590
1041,"Roast Young Capon, Dressing, Apple Sauce",585,German Food,Vegetarian,480
1042,Kalbssteak mit Kartofflen,304,Scottish Food,Non-Vegetarian,250
1043,"Roast Stuffed Breast Maryland Turkey, giblet gravy",170,Algerian Food,Vegetarian,580
1044,Pouding a l'imperatrix,584,Salvadorian Food,Vegetarian,770
1045,"Ox-tail Soup, Anglaise",729,Scottish Food,Non-Vegetarian,430
1046,Hashed Mutton,351,French Food,Vegetarian,170
1047,A.V.H gin,587,Nigerian Food,Non-Vegetarian,430
1048,Caviale Molossol importato,563,Jewish Food,Non-Vegetarian,180
1049,Broiled Smoked Bacon,100,Nigerian Food,Vegetarian,210
1050,"French Colombard (Riverside Farm)  This medium-bodied, dry white wine is a California favorite.",638,Spanish Food,Vegetarian,160
1051,Paul Jones,29,Cuban Food,Vegetarian,210
1052,"At Shane's, all entrees are served with our special garden salad, choice of Russian, Creamy French, Italian or Bleu Cheese dressings, Shane's Special Potato or a Baked Idaho Russet with butter or sour cream, the vegetable of the day and assorted rolls and whipped butter",254,Scottish Food,Vegetarian,210
1053,Stuffed Miltz,385,Mormon Food,Vegetarian,520
1054,Kycklingsallad,534,Peruvian Food,Non-Vegetarian,690
1055,Szraszy polonaise,434,German Food,Non-Vegetarian,120
1056,"St. Emilion 1ere, '87",79,Mormon Food,Non-Vegetarian,790
1057,Cup of Hot or Cold Vichyssoise,85,French Food,Vegetarian,540
1058,Berries and fruits in season at the current price,182,Spanish Food,Vegetarian,700
1059,Echte Franfurter Wuestchen mit Karoffelsalat*,103,German Food,Vegetarian,780
1060,Mousse Siberien,254,Tibetan Food,Vegetarian,450
1061,"Lobster Chow Mein, Fried or Crisp",436,Hawaiian Food,Vegetarian,320
1062,Brawn,511,Italian Food,Non-Vegetarian,320
1063,Oeufs Brouilles Grand'Mere,531,Mormon Food,Vegetarian,390
1064,dito mit Sahne,415,Jewish Food,Non-Vegetarian,650
1065,"Boiled Live Rock Codfish, Egg Sauce",535,Tibetan Food,Vegetarian,260
1066,"clams,",88,Haitian Food,Non-Vegetarian,790
1067,Cold: Pigs Feet,147,Greek Food,Non-Vegetarian,310
1068,"Vermont Turkey, Oyster Stuffing, Cranberry sauce",290,Russian Food,Vegetarian,240
1069,Creamed Chicken Hash,684,Latvian Food,Non-Vegetarian,200
1070,"Braised Veal Tongue, Creamed Spinach",308,Nigerian Food,Non-Vegetarian,740
1071,Truite Meuniere aux Amandes,51,Belgian Foods,Vegetarian,700
1072,Lobster curried,642,American Food,Non-Vegetarian,520
1073,Cup cold chicken broth in jelly,665,Greek Food,Vegetarian,370
1074,"Fruit (per person), Sickel Pears",735,Salvadorian Food,Vegetarian,570
1075,*Shrimp Remoulade Salad,6,Polish Food,Non-Vegetarian,770
1076,"Gekochter Kabliau, Englische Eiersauce",36,Libyan Food,Non-Vegetarian,340
1077,Kalfskopf a la Vinaigrette,134,Chinese Food,Non-Vegetarian,770
1078,Chateau L'Evangile 1987,323,Haitian Food,Non-Vegetarian,140
1079,1950 Graves Superieur,350,Tahitian Food,Vegetarian,310
1080,"1972er Scharzhofberger, Qualitatswein, Weingut von Hovel",682,Swedish Food,Vegetarian,320
1081,Brandied Peach Jubliee,348,Mexican Food,Non-Vegetarian,260
1082,Shredded Pork with Green Pepper,488,Japanese Food,Vegetarian,490
1083,Kafeauswahl,675,Korean Food,Non-Vegetarian,480
1084,Sweetbreads a l'Eugenie,607,Tahitian Food,Vegetarian,760
1085,Hot Fresh Asparagus,99,Salvadorian Food,Vegetarian,510
1086,Sliced Turkey on Toast,117,Canadian Food,Non-Vegetarian,260
1087,"Roast Beef au Jus, Potatoes au Gratin",590,Kenyan Food,Vegetarian,420
1088,Black olives,690,Salvadorian Food,Non-Vegetarian,370
1089,Gartenkrautersalat mit Sherryessig-Vinaigrette gebratenem Spargel und gerosteten Pinienkernen ,214,French Food,Non-Vegetarian,760
1090,"Short Rib of Beef, Corn Fritter ",301,Irish Food,Vegetarian,240
1091,"Gevrey-Chambertin, Poulet Pere & Fils",296,Japanese Food,Non-Vegetarian,140
1092,"Any Above Order with Walnut, extra",655,Chinese Food,Vegetarian,630
1093,Ragout d'escargots a l'emulsion d'herbes fraiches,264,Spanish Food,Vegetarian,190
1094,Sorbet au Champagne rosé,594,Nigerian Food,Non-Vegetarian,220
1095,Steamed Lobster,592,Italian Food,Vegetarian,760
1096,"Aufschnitt-Teller, Brot und Butter",580,Salvadorian Food,Non-Vegetarian,570
1097,Ardin Dry American Vermouth,14,Mexican Food,Vegetarian,450
1098,PLANKED SHAD half,640,American Food,Vegetarian,260
1099,"Whole Broiled Maine Lobser - Drawn Butter, French Fried Potatoes - Corn Saute",257,Russian Food,Non-Vegetarian,180
1100,Glaces et Sorbets du jour,79,Peruvian Food,Vegetarian,300
1101,Roast Teal Duck & Currant Jelly,182,Cuban Food,Vegetarian,120
1102,"Beefsteak, Grill",678,Turkish Food,Non-Vegetarian,290
1103,Glace Dame Blanche,321,Italian Food,Vegetarian,290
1104,Metaxa ***** Greek,291,Russian Food,Vegetarian,200
1105,Gekochte-Ruhr & Spiegel-Eier,553,Polish Food,Non-Vegetarian,160
1106,Pear Mousse,562,Japanese Food,Non-Vegetarian,510
1107,"Orange Pekoe tea, small pot, large pot",233,Jewish Food,Non-Vegetarian,620
1108,"Minced Turkey, a la Reine",337,Algerian Food,Vegetarian,240
1109,"Chicken Pattie, Reine",568,Turkish Food,Vegetarian,530
1110,Bessarabisches FleischspieBchen mit frischen Champignons,369,Haitian Food,Non-Vegetarian,460
1111,Grilled Spring Chicken Diable,678,Japanese Food,Non-Vegetarian,370
1112,Foie Gras Sandwiches,265,Salvadorian Food,Vegetarian,730
1113,Hot Peach Sauce,109,Latvian Food,Vegetarian,780
1114,"Cocktail, Tomato juice",712,Peruvian Food,Non-Vegetarian,400
1115,1/2 pernice sul crostone di polenta,386,Polish Food,Non-Vegetarian,780
1116,Broiled Kennebec Salmon Steak with Currant Jelly,229,Portuguese Food,Non-Vegetarian,640
1117,Poire - Framboise,592,Salvadorian Food,Vegetarian,540
1118,Chianti - (Italy) Leading Brands,141,Brazilian Food,Vegetarian,390
1119,"Toast, Dipped",713,Mormon Food,Non-Vegetarian,360
1120,Kannchen Tee m. Sahne u. Zucker,307,Italian Food,Non-Vegetarian,240
1121,"Tongue and Scrambled Eggs, French Fried Potatoes",88,Chinese Food,Non-Vegetarian,330
1122,Chianti (Leading Brands),360,Libyan Food,Vegetarian,410
1123,Whitebait au Naturel,98,Algerian Food,Vegetarian,530
1124,Montrachet burgundy F. Chauvenet & Co.,666,Turkish Food,Non-Vegetarian,250
1125,Glace Framboise,93,Hawaiian Food,Non-Vegetarian,720
1126,Extra filet steak,19,Hawaiian Food,Non-Vegetarian,330
1127,Shoulder of mutton stuffed with jelly,578,Nigerian Food,Vegetarian,430
1128,Potage (p.p),204,American Food,Non-Vegetarian,280
1129,"Kong Namul (Bean Sprouts with Seasame-Seed Oil), Chopped Beef, Bean Sprouts with Scallions in a Special Salad Dressing",619,Salvadorian Food,Vegetarian,520
1130,Broiled Dinner Steak,306,Polish Food,Non-Vegetarian,400
1131,Tipsy Trifle with Julienne Almonds,465,Indian Food,Non-Vegetarian,560
1132,St. Emellion Claret,425,Portuguese Food,Non-Vegetarian,520
1133,Amontillado Extra Dry,24,Algerian Food,Vegetarian,170
1134,Chateaubriand Cut for Two to Four Persons (per person),273,Salvadorian Food,Vegetarian,210
1135,"An Inattention on Part of Waitress, Please Report at Cashier's Desk",64,Kenyan Food,Vegetarian,400
1136,"NEW YORK STRIP, An extra thick cut",261,Mormon Food,Non-Vegetarian,680
1137,Crispy Shrimp and Wild Mushroom Salad with Balsamic Syrup,579,French Food,Non-Vegetarian,160
1138,Kogt Laks Hollandaise,281,Jewish Food,Vegetarian,390
1139,Chambertin 1898 Burgundy,209,German Food,Vegetarian,420
1140,"Old Fashioned Brown Beef Stew, Fresh Vegetable",111,Turkish Food,Non-Vegetarian,590
1141,"Roast Sugar Cured Ham, Burgundy Style",373,Mormon Food,Vegetarian,410
1142,"Saint Agneu Rose Bordeaux, Philippe Rothschild 1/4 Liter Schoppen",229,Portuguese Food,Vegetarian,750
1143,Corned Brisket Beef & Vegetables,160,British Food,Non-Vegetarian,480
1144,"Chocolate nut bread pudding, hot fudge sauce",526,Peruvian Food,Non-Vegetarian,550
1145,"English Cheese, per person",605,Salvadorian Food,Vegetarian,580
1146,"1/2 Hummer Thermidor, Champagnerrisotto",600,Belgian Foods,Non-Vegetarian,430
1147,"Grand Vin Mousseux, (Red Cap), Chauvenet",79,Polish Food,Non-Vegetarian,160
1148,Zander  Mushroom sauce  Melted butter,492,Portuguese Food,Non-Vegetarian,530
1149,Truffled galantine,561,Latvian Food,Non-Vegetarian,180
1150,"Floirac, Barton and Guestier",273,Greek Food,Vegetarian,360
1151,Cold Spring Harbor Oysters,284,Algerian Food,Vegetarian,140
1152,Elite Camembert,296,Irish Food,Non-Vegetarian,120
1153,Chicken Patties with Green Peas,155,Brazilian Food,Vegetarian,720
1154,"ROAST PRIME SIRLOIN TIP OF BEEF, Clear Gravy Au Jus",169,Mexican Food,Non-Vegetarian,590
1155,"Potatoes, Lyonaise",431,Turkish Food,Vegetarian,140
1156,Double Consomme Chancelière,589,Welsh Food,Vegetarian,720
1157,Emporer steak,286,Swedish Food,Vegetarian,500
1158,Portuguese Brandy,366,Cuban Food,Vegetarian,670
1159,Madrilene Consomme (Liguide or Jelly),74,American Food,Vegetarian,400
1160,(Price According to Size),179,Thai Food,Non-Vegetarian,790
1161,"clams, half shell",288,Irish Food,Vegetarian,360
1162,"Fruit,",301,Russian Food,Vegetarian,730
1163,"U.S. Choice Jr, Club Steak, include Salad, one veg., Beverage, & Dessert",80,Peruvian Food,Non-Vegetarian,350
1164,*Boiled Rice,165,Spanish Food,Vegetarian,720
1165,Camembert* Kase mit Butter u. Brot,470,Jewish Food,Non-Vegetarian,610
1166,"Spaghettin in Casserole, Special Sauce",71,Salvadorian Food,Non-Vegetarian,260
1167,"Ruhreier oder Omelette mit Schinken, Kartoffelsalat",413,Tahitian Food,Vegetarian,340
1168,"Dinde farcie aux patates et marrons, Petits pois a l'angliase",543,Tibetan Food,Non-Vegetarian,290
1169,a l'Italienne,723,Tibetan Food,Vegetarian,390
1170,Pie - Per Slice,119,Haitian Food,Vegetarian,450
1171,"Fillets of beef, marinated in red wine and herbs, cooked in a sour cream sauce (Filetto alla Crema)",587,Brazilian Food,Non-Vegetarian,160
1172,Bonded Rye Collins,283,Mormon Food,Vegetarian,650
1173,"Baked Macaroni, Greek Style",199,British Food,Vegetarian,440
1174,Fried Rice with Chicken and Mushroom,97,Brazilian Food,Non-Vegetarian,520
1175,Mosel Zeller schwarze Katz,428,Spanish Food,Vegetarian,670
1176,Hawanaise Salade,319,Swedish Food,Vegetarian,420
1177,"Vacuum Coffee, per Pot, for Two",205,Tahitian Food,Non-Vegetarian,750
1178,"Bread, Vienna",694,Hawaiian Food,Non-Vegetarian,790
1179,"Broiled kingish, Pompadour",183,Thai Food,Vegetarian,410
1180,Coup Danemark - Vanille Glace,354,Latvian Food,Vegetarian,170
1181,Croquettes de riz,712,Swedish Food,Non-Vegetarian,130
1182,Bocksteiner Auslese 1900,323,Mormon Food,Non-Vegetarian,670
1183,BREADED VEAL CHOP MILANAISE,437,Polish Food,Vegetarian,260
1184,"Chicken, half Served with Potato Salad",76,Belgian Foods,Non-Vegetarian,570
1185,Curried Apples & Rice,443,Polish Food,Non-Vegetarian,790
1186,"Fried Louisiana Prawns, Tartar Sauce, Waffle Potatoes",645,Chinese Food,Vegetarian,640
1187,Saddle Rock Oysters Steamed,15,Latvian Food,Non-Vegetarian,780
1188,BluePoints-half shell,1,Korean Food,Non-Vegetarian,610
1189,"Rockaway Oysters Raw, dozen",249,Cuban Food,Vegetarian,740
1190,Chilled Half Arizona Grapefruit,605,American Food,Vegetarian,440
1191,Clam Cakes,108,Cajun Food,Vegetarian,710
1192,"Live lobster, Brochette",551,Turkish Food,Vegetarian,790
1193,Celery stuffed with Roquefort cheese,561,Mexican Food,Vegetarian,560
1194,Orange Brandy,367,Japanese Food,Vegetarian,320
1195,Hot Oatmeal  Small ...1.75   Small with Fresh Fruit    2.25  Large ...2.50   Large with Fresh Fruit ...3.00,65,Jewish Food,Non-Vegetarian,340
1196,Haricots verts a l'anglaise,419,Hawaiian Food,Non-Vegetarian,680
1197,"Creme de Menthe, Cordial",398,Russian Food,Vegetarian,770
1198,Sliced Chicken with Chinese Mushrooms,375,Salvadorian Food,Non-Vegetarian,440
1199,Kumquats Compote,305,Thai Food,Vegetarian,390
1200,Chateau Haut-Bailly (Graves) 1971,444,Chinese Food,Vegetarian,140
1201,Pears a'la Vladimir,160,Mormon Food,Vegetarian,440
1202,"Cheateau Duhart Milon, 1937",592,German Food,Non-Vegetarian,190
1203,"Baked codfish, boiled potatoes",351,Hawaiian Food,Vegetarian,350
1204,"Wheat, Rice or Corn Cales",454,Hawaiian Food,Non-Vegetarian,150
1205,"Roast Veal, Peas and Browned Potatoes",707,Egyptian Food,Vegetarian,620
1206,"Imported Wurzburger, per glass",6,Indian Food,Vegetarian,590
1207,Cauape caviar,108,Latvian Food,Non-Vegetarian,240
1208,Spigola ai ferri,699,Haitian Food,Vegetarian,620
1209,Bierradi mit Schnittlauchbrot,407,Hawaiian Food,Non-Vegetarian,520
1210,"With Bread and Butter, 5 cents extra",75,German Food,Non-Vegetarian,500
1211,"Vichy (Source Dubois) Eau Minerale, 1/2 Bottle, Bottle",687,Polish Food,Non-Vegetarian,460
1212,Suet Pudding. Wine Sauce,566,Scottish Food,Vegetarian,430
1213,"Top Sirloin, Bread and Butter",500,Japanese Food,Non-Vegetarian,770
1214,Fruit and Vegetable Juices,371,Turkish Food,Non-Vegetarian,500
1215,Angel on Horseback,153,Portuguese Food,Vegetarian,360
1216,"Poussin, Washington",494,Hawaiian Food,Non-Vegetarian,400
1217,"BRANDY.Champagne Cognac, 1805  3 00",147,Thai Food,Vegetarian,480
1218,"Chicken Consomme, en Tasse",614,Swedish Food,Vegetarian,490
1219,Parsley or Jelly Omelette,43,Spanish Food,Non-Vegetarian,280
1220,MOUSSE AU KIRSCH,709,Jewish Food,Non-Vegetarian,420
1221,"1/2 Doz. Blue Point Select Oysters, in Half Shell",709,Spanish Food,Non-Vegetarian,220
1222,Pear and Strawberry Compote,555,Irish Food,Non-Vegetarian,430
1223,Lloyd  Cheese,206,Thai Food,Vegetarian,160
1224,"1964 Wittlicher Lay ""Spatlese""",621,Swedish Food,Vegetarian,460
1225,Heidsieck Dry Monopole,628,Mormon Food,Vegetarian,450
1226,Celeri au jus,666,Kenyan Food,Vegetarian,730
1227,Spiced Herring Salad,399,Haitian Food,Non-Vegetarian,510
1228,"Selle de chevreuil rotie, salade",584,Indian Food,Non-Vegetarian,780
1229,Fruits Cocktail,44,Cuban Food,Non-Vegetarian,260
1230,Damson Plum Jelly,220,Nigerian Food,Non-Vegetarian,480
1231,"Fig Pudding, - Fruit Sauce",575,Welsh Food,Non-Vegetarian,750
1232,"Compote, Prunes",290,French Food,Non-Vegetarian,290
1233,Saint Honore,209,Brazilian Food,Non-Vegetarian,230
1234,Nelusko Sundae,548,Salvadorian Food,Vegetarian,640
1235,"Marsala, very old",310,Brazilian Food,Vegetarian,150
1236,Red Beans Mexican Style,145,Portuguese Food,Non-Vegetarian,300
1237,Milk Biscuit,662,Tibetan Food,Vegetarian,700
1238,Wadli mit Kraut,3,Indian Food,Non-Vegetarian,330
1239,Ossi Bucki a la Milanaise,606,Egyptian Food,Vegetarian,660
1240,Funghi coltivati trifolati,341,Swedish Food,Non-Vegetarian,750
1241,Roast Tenderloin with mashed potatoes,414,Korean Food,Non-Vegetarian,340
1242,Chardonnay: Trefethen,709,Chinese Food,Non-Vegetarian,760
1243,"Courvoisier, Imported Cognac",320,Tahitian Food,Non-Vegetarian,580
1244,"Beefsteak, Chutney SAuce",593,Irish Food,Non-Vegetarian,140
1245,Filets de turbot au Christe-Marines,625,Chinese Food,Vegetarian,190
1246,Imported Pedro Domecq Pale Dry Fragrant,99,Turkish Food,Non-Vegetarian,210
1247,"Matjesfilet auf Eis, Prinzessbohnen, neue Kart.",428,British Food,Non-Vegetarian,280
1248,Saddle of lamb au jus,437,Tibetan Food,Non-Vegetarian,460
1249,BACONCHEDDARBURGER,131,Japanese Food,Non-Vegetarian,750
1250,"Baked Sea Trout, Provencale",424,Kenyan Food,Non-Vegetarian,580
1251,Caper Sauce,725,Hawaiian Food,Non-Vegetarian,780
1252,Domaine Autecour,247,Swedish Food,Non-Vegetarian,260
1253,"Cold Lobster, Fresh Picked",243,Japanese Food,Non-Vegetarian,160
1254,Poached Eggs (2 eggs),188,Italian Food,Vegetarian,730
1255,Sweetbreads Toulouse en caisse,717,Jewish Food,Vegetarian,570
1256,"Halibut, Sauce Fleurette",486,Scottish Food,Non-Vegetarian,790
1257,MAYONNAISE OF FRESH LOBSTER,668,Japanese Food,Vegetarian,450
1258,Pan Fried or Broiled Half Delaware Spring Chicken,475,American Food,Non-Vegetarian,160
1259,"Old Bushmill - Irish Whiskey, 4 cl",64,Polish Food,Non-Vegetarian,270
1260,Omelette aux champignons,333,Algerian Food,Vegetarian,300
1261,Chicken Consomme with Rice and Pimientoes,260,Tibetan Food,Non-Vegetarian,670
1262,"Potatoes, puree au gratin",181,Welsh Food,Vegetarian,720
1263,Importe : Allgauer,214,Peruvian Food,Vegetarian,780
1264,Galantine de chapou aux truffes,651,Spanish Food,Non-Vegetarian,270
1265,"Broiled fresh salmon steak, maitre d'hotel",376,German Food,Vegetarian,280
1266,Bailey battered biscuit,166,Spanish Food,Non-Vegetarian,390
1267,Jambon Sec des Landes,557,Indian Food,Vegetarian,660
1268,Virginia Ham Sandwich ,429,Canadian Food,Vegetarian,200
1269,Hungarian Paprica,177,Jewish Food,Non-Vegetarian,320
1270,"""Thin Mint Squares""",246,Korean Food,Vegetarian,520
1271,Berncastler Doctor Quart,2,Mexican Food,Non-Vegetarian,200
1272,"Traditional Gulyas Soup, cup",236,Haitian Food,Non-Vegetarian,440
1273,Garnished sauerkraut with parsley-potatoes,591,Turkish Food,Non-Vegetarian,340
1274,"Sea food fried, Remoulade sauce",293,American Food,Vegetarian,480
1275,Renault (Domestic),697,American Food,Non-Vegetarian,250
1276,Englische Rindsrippe,99,Japanese Food,Vegetarian,760
1277,Griddle Cakes with Florida Syrup,492,Belgian Foods,Non-Vegetarian,400
1278,Imported Italian Antipasto,340,Irish Food,Non-Vegetarian,320
1279,Sherry: Palido Ligero (halvtorr),528,Latvian Food,Non-Vegetarian,380
1280,"Minnehaha Pale, Pints",99,Japanese Food,Non-Vegetarian,580
1281,"Baked Cotuit oysters, Provencale",737,Egyptian Food,Non-Vegetarian,490
1282,"Champagne, Pommery Pts.",290,French Food,Non-Vegetarian,540
1283,BLACK CHERRY Ice Cream,48,French Food,Non-Vegetarian,120
1284,Souffle Royal Grand Marnier,574,Polish Food,Non-Vegetarian,560
1285,Bombe a la Melin ....ite,576,Thai Food,Non-Vegetarian,170
1286,weizen griddle cakes,685,Brazilian Food,Non-Vegetarian,120
1287,Henkell Cuvee 07 Extra Dry Schaumwein,495,Brazilian Food,Vegetarian,370
1288,Filet of sole a la Joinville,232,Turkish Food,Non-Vegetarian,530
1289,Baked Beef Hash with Poached Egg,239,Egyptian Food,Vegetarian,480
1290,Duck Foie Gras with Toasted Brioche,63,American Food,Vegetarian,130
1291,Sauteed Zucchini with Tomato,581,Haitian Food,Vegetarian,490
1292,Hot Apple Pie with Ice Cream,296,Greek Food,Non-Vegetarian,160
1293,"Rib of Beef, larded, ala mode sauce",2,Egyptian Food,Vegetarian,500
1294,"Le Homard du Maine, Préparé Bordelaise",102,Korean Food,Non-Vegetarian,330
1295,"Royal Port, Old (Decanted)",70,Mormon Food,Vegetarian,670
1296,Hostette's Bitters,472,Spanish Food,Vegetarian,780
1297,Virginia soras with fresh mushrooms en casserole,183,British Food,Vegetarian,170
1298,Chou-fleur aux écrevisses,38,Portuguese Food,Non-Vegetarian,140
1299,Langouste Grillee au Beurre de Corail    ,497,Nigerian Food,Non-Vegetarian,630
1300,Ailes de Poulet a la General Kerwin,569,Polish Food,Vegetarian,250
1301,"No. 1 Breakfast - Fruit Juice or Half Grapefruit, Breakfast Rolls or Toast, Coffee, Tea or Milk, You Choice of:  Cerals (Hot or Cold), or Two Eggs any Style or One Egg with Bacon",406,Algerian Food,Non-Vegetarian,650
1302,"Cabinet Pudding, Hard or Brandy Sauce",396,Welsh Food,Vegetarian,760
1303,Bisquit Imperial,24,Jewish Food,Non-Vegetarian,190
1304,SUPREME DE POULET MONTPENSIER,644,Libyan Food,Vegetarian,560
1305,Boneless Pigs feet in jelly,60,Korean Food,Non-Vegetarian,760
1306,Jas Hennessy & Co 1869,499,Chinese Food,Vegetarian,250
1307,"Filet Mignon on Toast, Mushroom Caps",113,Portuguese Food,Vegetarian,770
1308,Bectis a la Montreuil,621,Scottish Food,Non-Vegetarian,320
1309,Cup Strained Petite Marmite,282,Haitian Food,Non-Vegetarian,620
1310,Vanille Eiscrème,633,Latvian Food,Vegetarian,310
1311,"Huhnfrikassee ""Indische Art"" mit Bananen, Curryreis und Schinken",396,Hawaiian Food,Non-Vegetarian,700
1312,"Prime Rib of Beef, Horse Radish",166,Cajun Food,Vegetarian,250
1313,Nalistniki,41,Polish Food,Vegetarian,370
1314,"Chenin Blanc, Mondavi California White Wine",409,Turkish Food,Non-Vegetarian,720
1315,Taggessuppe,415,Haitian Food,Vegetarian,680
1316,Braised loin of pork with sauerkraut,239,Haitian Food,Vegetarian,630
1317,English Plover,550,Cuban Food,Non-Vegetarian,510
1318,"Schollenfilet in brauner Butter, Mayonnaisensalat",422,Polish Food,Vegetarian,210
1319,Kalbsfrikassee mit Butterreis,356,French Food,Non-Vegetarian,360
1320,quenelle and mushrooms patty,371,Chinese Food,Vegetarian,550
1321,"Brandy, J. & F. Martell, V.S.O.",714,Algerian Food,Vegetarian,730
1322,"Roast Turkey, stewed prunes",551,Italian Food,Vegetarian,270
1323,Lemon Meringue Tart,400,Cajun Food,Vegetarian,320
1324,Veuve Clicquot Ponsardin brut 1949,57,Polish Food,Non-Vegetarian,240
1325,Flasche Kirschsaft,78,Libyan Food,Vegetarian,210
1326,"Corned Brisket of Beef  Sandwich, Hot",159,Spanish Food,Non-Vegetarian,690
1327,"WHISKEY, Drinks  American Rye",117,French Food,Vegetarian,130
1328,Sweetbreads fried or broiled,103,Cajun Food,Non-Vegetarian,630
1329,James Hennesy's 3 star Brandy,575,Irish Food,Non-Vegetarian,440
1330,Side Order of Green Chile,133,Tibetan Food,Non-Vegetarian,350
1331,St-Julien,545,Tibetan Food,Vegetarian,400
1332,"Oysters, Smiths Island",597,Libyan Food,Vegetarian,180
1333,Potatoes-O'Brien,434,Welsh Food,Non-Vegetarian,220
1334,Berries and Melon (in Season),103,Korean Food,Non-Vegetarian,320
1335,Yalanji Dolmasi (Stuffed Grape Vine Leaves),387,Scottish Food,Non-Vegetarian,630
1336,"French Pullets, Preserves, Salad",288,Indian Food,Non-Vegetarian,620
1337,Alka Seltzer,264,Cuban Food,Vegetarian,170
1338,Whole Broiled Maine Lobster selected 2 lb. with crabmeat,636,Japanese Food,Non-Vegetarian,610
1339,Irish Ham,610,Spanish Food,Non-Vegetarian,750
1340,"Coupe 4 saisons (4 parfums, Chantilly, amandes grillees)",519,Irish Food,Vegetarian,780
1341,Crayfish soup,499,Russian Food,Vegetarian,540
1342,Filet of Sole with Sauterne gratine,700,Salvadorian Food,Vegetarian,530
1343,"Seagram ""5"" Whiskey",430,French Food,Non-Vegetarian,670
1344,Calf's Liver Sauté with paprika sauce and rice,19,Peruvian Food,Non-Vegetarian,440
1345,Tomato au Four,474,Canadian Food,Vegetarian,360
1346,Potatoes Mignonne,457,Latvian Food,Vegetarian,730
1347,Jumbo Ripe and Green Olives,78,Swedish Food,Non-Vegetarian,670
1348,"Veal cutlet, breaded, tomatoe sauce",153,Peruvian Food,Non-Vegetarian,150
1349,SPECIAL - Rib stead a la Mouquin,425,Welsh Food,Vegetarian,480
1350,Smoked sturgeon with capers,317,Peruvian Food,Vegetarian,490
1351,MOUSSE OF HAM IN JELLY,429,Egyptian Food,Non-Vegetarian,600
1352,"Bourgogne, 545 Savigny-les-Beaune, Simon Bize AC1988",178,Greek Food,Non-Vegetarian,220
1353,1/2 jg. Masthahnchen mit pommes frites und Salat,478,Salvadorian Food,Vegetarian,220
1354,"Rye, Indv. Bottle",40,Thai Food,Vegetarian,240
1355,Buttered Rice Pilaff,99,Brazilian Food,Vegetarian,730
1356,"Suprême de pamplemousse, maraschino",290,Japanese Food,Vegetarian,200
1357,Consomme aux deux poivrons,213,Kenyan Food,Non-Vegetarian,780
1358,"BAR DE MER DE SANDY HOOK, CRECY",568,German Food,Non-Vegetarian,580
1359,"Blanc de Blancs, Cordonniu Spain, sparkling, dry",517,American Food,Vegetarian,470
1360,"Slice of Beef Tenderloin, Bordelaise Sauce",482,Hawaiian Food,Non-Vegetarian,550
1361,Rindsgulyas mit Salzkartoffeln,313,Salvadorian Food,Vegetarian,350
1362,Henkell Trocken Schaumweine,276,Mexican Food,Vegetarian,560
1363,2 PORK CHOPS,506,Cuban Food,Vegetarian,720
1364,Dirmsteiner,662,Algerian Food,Vegetarian,640
1365,"Broiled squab, Philadelphia",285,Latvian Food,Vegetarian,320
1366,Ochsenroulade mit Purée,611,German Food,Non-Vegetarian,520
1367,"Combination Sandwich - Ham, Swiss Cheese",633,Cuban Food,Vegetarian,160
1368,"Wiener Roastbraten, Turkische Erbsen",213,Salvadorian Food,Vegetarian,700
1369,Bran and Corn Muffin,590,Algerian Food,Vegetarian,530
1370,Gebrat. Hammelkeule,174,Hawaiian Food,Vegetarian,640
1371,VEAL CACCIATORE W. MUSHROOMS,203,Nigerian Food,Vegetarian,230
