id,restaurantName,contactNumber,address,ratingOutOf5,restType,orderOnline,bookTable,locality,votes
148,Kabab Magic,080 26490895,"1548, East End Circle, 9th Block, Jayanagar, Bangalore",4.0/5,Quick Bites,Yes,No,Bannerghatta Road,952
149,Cafe Arabica,"080 64442444
+91 8050042444","4, 1st Cross, Christ School Road, Bhavani Layout, Bannerghatta Road, Bangalore",3.8/5,"Cafe, Bakery",No,No,Bannerghatta Road,69
150,FreshMenu,080 40424242,"10, Stavyah Arcade, 3rd Floor 9th Main, Yarab Nagar Main Road, Banashankari, Bangalore",3.9/5,Delivery,Yes,No,Banashankari,627
151,Salut,"+91 8971285555
080 49709755","382/71/4, 11th Main, 3rd Block, Jayanagar, Bangalore",4.1/5,"Pub, Casual Dining",Yes,Yes,Banashankari,442
152,Smoke - The Sizzler House,+91 9620991924,"Unit 19, 3rd Floor, 172/1, Vega City Mall, Bannerghatta Road, Bangalore",3.8/5,Food Court,Yes,No,Bannerghatta Road,92
153,A2B Veg - Adyar Ananda Bhavan,"080 26621222
080 41203999","200, Next to Canara Bank, KG Road, Gandhi Bazaar, Basavanagudi, Bangalore",2.7/5,Casual Dining,Yes,No,Banashankari,97
154,Redberrys,+91 9148421256,"30, Surveyor Street, DVG Road, Basavanagudi, Bangalore",4.0/5,Cafe,Yes,No,Banashankari,219
155,Shanghai Court,080 42086199,"1035, 5th Cross, 13th Main, Vijaya Bank Layout, Bannerghatta Road, Bangalore",4.2/5,Casual Dining,Yes,No,Bannerghatta Road,421
156,Butterly,+91 7338636363,"7, Doddakammanahalli Main Road, Central Excise Layout, Phase 2, Bannerghatta Road, Bangalore",3.9/5,Cafe,Yes,No,Bannerghatta Road,102
157,Fusion Theory,080 49653171,"34/1, 3rd & 4th Floor, 36th Cross, 6th Main, 4th Block, Jayanagar, Bengaluru",NEW,Casual Dining,No,Yes,Basavanagudi,0
158,Waah Biryani,+91 9008812888,"41, Near Royal School, 24th Main, JP Nagar, Bangalore",3.8/5,Quick Bites,No,No,Bannerghatta Road,115
159,Chung Wah,"080 41215557
080 41215333","3, Arakere Gate, Bannerghatta Road, Bangalore",4.0/5,Casual Dining,Yes,No,Bannerghatta Road,532
160,Kabab Magic,080 26570381,"31, Opposite Vijaya College, RV Road, Basavanagudi, Bangalore",4.1/5,Quick Bites,Yes,No,Basavanagudi,1720
161,Gustoes Beer House,080 49653521,"10, 30th Main, Deve Gowda Petrol Bunk Road, 3rd Stage, Banashankari, Bangalore",4.1/5,Pub,No,No,Banashankari,868
162,San Churro Cafe,+91 9663487993,"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",3.8/5,"Cafe, Casual Dining",Yes,No,Basavanagudi,918
163,Kamat Bugle Rock,080 26605734,"1, 5th Main Road, Bull Temple Road, Basavanagudi, Bangalore",3.9/5,Quick Bites,Yes,No,Banashankari,543
164,Mandi,"080 26581432
+91 9880493432","949, 2nd Floor, 24th Main, 2nd Phase, JP Nagar, Bangalore",3.8/5,Casual Dining,Yes,Yes,Bannerghatta Road,560
165,Hatti Kaapi,080 40942666,"126, Opposite Police Station, 7th Main, 4th Block, Jayanagar, Bangalore",4.0/5,Quick Bites,Yes,No,Banashankari,89
166,Shetty's Kitchen,+91 9900449437,"Sir M Visveswaraya Road, Kutappa Garden, Mulki Sundar Ram Shetty Nagar, Bilekahalli, Bannerghatta Road, Bangalore",3.7/5,Quick Bites,Yes,No,Bannerghatta Road,108
167,Cuppa,080 40939471,"46/A, 1st Main, 3rd Phase, JP Nagar, Bangalore",3.4/5,Cafe,No,No,Bannerghatta Road,48
168,Roll Over,"+91 8884942976
+91 8884942900","1A/29 , Shop 2 , 27th Cross, Jayanagar, Bangalore",4.1/5,Dessert Parlor,Yes,No,Banashankari,438
169,Juicy Momos,+91 9538550509,"32, 22nd Cross, 22nd Main, 2nd Stage, Near BDA Complex, Banashankari, Bangalore",3.5/5,Quick Bites,Yes,No,Banashankari,80
170,Kitchens@JP Nagar,080 43334321,"#35/4, 24th main JP Nagar 7th phase, Puttenahalli, JP Nagar, Bangalore",3.9/5,"Takeaway, Delivery",Yes,No,Bannerghatta Road,488
171,Cakebuy,+91 8496934114,"1 B, Krishnamurthy Complex, Kodichikkanahalli Road, Bannerghatta Road, Bangalore",3.9/5,Dessert Parlor,Yes,No,Bannerghatta Road,70
172,Butterly,+91 7338636363,"7, Doddakammanahalli Main Road, Central Excise Layout, Phase 2, Bannerghatta Road, Bangalore",3.9/5,Cafe,Yes,No,Bannerghatta Road,102
173,Laddoos,080 40991947,"799, 7th Cross Road, 2nd Stage, Near Fooddays, BTM, Bangalore",3.4/5,"Quick Bites, Dessert Parlor",Yes,No,Bannerghatta Road,276
174,Adithya,080 49652760,"37, Diagonally Opposite Ranga Shankara, 2nd Phase, JP Nagar, Bangalore",4.0/5,Quick Bites,Yes,No,Bannerghatta Road,332
175,Chatori Gali,"+91 9980370364
+91 9036083599","669, Opposite Elita Apartment, RBI Layout, 7th Phase, JP Nagar, Bangalore",2.9/5,Casual Dining,No,No,Bannerghatta Road,51
176,Zaitoon,"080 41477977
080 41488988","21, 24th Main Road, 6th Phase, JP Nagar, Bangalore",4.1/5,Casual Dining,Yes,Yes,Bannerghatta Road,1538
177,BIB - Breakfast in the Box,+91 7005889963,"52, 1st Floor, 3rd Cross, Omkar Nagar Arkere Gate, Near Reliance Store, Bannerghatta Road, Bangalore",3.8/5,Delivery,Yes,No,Bannerghatta Road,84
178,Brews N Bites,"+91 9886791151
+91 9886439454","54/7, Old no 54, 30th Cross B, Main Road, Corp Layout, Jayanagar, Bangalore",2.9/5,"Quick Bites, Cafe",Yes,No,Basavanagudi,62
179,Fattoush,"080 41425553
+91 7337830044","128/54/10, First floor, Opposite IIM - B, Dasarapalya, Bannerghatta Road, Bangalore",4.2/5,Casual Dining,Yes,Yes,Bannerghatta Road,1964
180,Guru Greens,"+91 9845055553
+91 9845955556","97/2, Gottigere, Bannerghatta Road, Bangalore",3.8/5,Casual Dining,No,No,Bannerghatta Road,89
181,Amritsari Kulcha Land,"+91 8884449474
+91 7986965273","123, 24th Main, Opposite Royal High School, 5th Phase, JP Nagar, Bangalore",4.1/5,Quick Bites,Yes,No,Bannerghatta Road,260
182,Bunt's Biriyani Palace,"080 26697231
+91 8711090256","487, 80 Feet Road, Bank Colony, 1st Stage, Banashankari, Bangalore",3.0/5,Quick Bites,Yes,No,Banashankari,213
183,Chicken Hunt,"+91 8762427116
+91 9591490143","222, 100 Feet Road, Near Kathriguppe Signal, Opposite Udbav Hospital, 6th Block, 3rd Stage, Banashankari, Bangalore",3.5/5,Quick Bites,Yes,No,Banashankari,88
184,Srikrishna Bhavan,"+91 9590895055
+91 9845664745","Next To BMTC Bus Stand, Banashankari, Bangalore",3.8/5,Quick Bites,Yes,No,Banashankari,42
185,California Burrito,080 39515101,"14/1/148/2A, Ground Floor, Near HSBC, Bannerghatta Road, Bangalore",4.0/5,Quick Bites,No,No,Bannerghatta Road,177
186,South Grand,080 26394647,"23, 7th Main, KSRTC Layout, Chikkalsandra, Main Road, Uttarahalli, Bangalore",3.4/5,Casual Dining,Yes,No,Banashankari,102
187,Cross Road Cafe,080 41247022,"671,45th Cross, 8th Block, Near Metro Pillar EP 22, Jayanagar, Bangalore",3.9/5,Cafe,Yes,No,Banashankari,91
188,Gama Gama,"+91 9739946098
+91 9538433344","17, Ground Floor, Near Big Bazar, 100 Feet Ring Road, 3rd Stage, Banashankari, Bangalore",3.9/5,Quick Bites,Yes,No,Banashankari,264
189,Brewsky,"+91 9880438170
+91 9880661701","55, 5th Floor, Goenka Chambers, 19th Main Road, Jeewan Griha Colony, Phase 2, JP Nagar, Bangalore",4.4/5,Microbrewery,Yes,Yes,Bannerghatta Road,4312
190,Donne Biriyani House,"+91 8197743537
080 26690642","4009, 80 Feet Road, 4th Phase, Banashankari, Bangalore",3.9/5,Quick Bites,Yes,No,Basavanagudi,441
191,Marwa Restaurant,080 49653014,"21, Ground Floor, B.H.C.S.L Layout, Stage 2, Bannerghatta Road, Bangalore",3.5/5,Casual Dining,Yes,Yes,Bannerghatta Road,551
192,Firangi Bake,+91 7710090007,"161 A, First Floor, Vinayaka Nagar, Bannerghatta Road, Bangalore",4.0/5,Delivery,Yes,No,Bannerghatta Road,95
193,Cane-O-La,080 22977700,"44/1, Bull Temple Road, Basavanagudi, Bangalore",3.8/5,Quick Bites,Yes,No,Banashankari,61
194,SL Vadapav,+91 9900597313,"Near McDonald's, 4th Block, Jayanagar, Bangalore",4.0/5,Quick Bites,Yes,No,Basavanagudi,78
195,Tandoor Hut,"080 68888777
+91 8861767232","Opposite Ranka Colony, Bilekahalli, Bannerghatta Road, Bangalore",2.2/5,Casual Dining,No,No,Bannerghatta Road,90
196,Coastal Mama,"080 41723334
080 41733334","312, 2nd Floor, 15th Cross, 100 Feet Road, 5th Phase, JP Nagar, Bangalore",4.1/5,Casual Dining,No,Yes,Bannerghatta Road,466
197,Lalchee's Rasoi,"+91 8197829385
+91 9980902935","Doddakammanahalli Main Road, Near Aikya Apartment, Next to Chef & Butcher, Bannerghatta Road, Bangalore",3.6/5,Casual Dining,No,No,Bannerghatta Road,162
198,Wangs Kitchen,080 39253925,"Ground Floor, 148/1 and 148/2, Near HSBC, Bannerghatta Road, Bangalore",3.0/5,Casual Dining,Yes,No,Bannerghatta Road,114
199,Addhuri Udupi Bhojana,+91 9620009302,"1st Floor, Annakuteera, 3rd Stage, Banashankari, Bangalore",3.7/5,Quick Bites,No,No,Banashankari,88
200,Shiv Sagar,"080 26483631
080 26483632","4th Floor, Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",2.9/5,Quick Bites,No,No,Bannerghatta Road,85
201,Mango Tree- The Beer Garden,"+91 9880863789
080 26851030","99/4, Nataraja Layout, 7th Phase, JP Nagar, Bangalore",4.1/5,Casual Dining,Yes,Yes,Bannerghatta Road,1320
202,Bottle Breacher,+91 9482512009,"309, 15th Cross, 100 Feet road, 5th Phase, JP Nagar, Bangalore",4.1/5,"Casual Dining, Pub",No,Yes,Bannerghatta Road,1187
203,Hotboxit,"+91 7026677677
+91 7026577577","2nd Stage, Banashankari, Bangalore",3.8/5,Delivery,No,No,Banashankari,36
204,Roti Ghar,"080 26629734
+91 9880141967","17, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",3.9/5,Casual Dining,Yes,No,Basavanagudi,750
205,Polar Bear,080 49652725,"96, Opposite Jain Collage, Basavanagudi, Bangalore",3.8/5,Dessert Parlor,Yes,No,Basavanagudi,71
206,Cheesiano Pizza,"+91 8043761455
+91 7678077768","16, 17, 18/2 Sarakki Lake, 24th Main, 6th Phase, JP Nagar, Bangalore",4.0/5,Quick Bites,Yes,Yes,Bannerghatta Road,199
207,Matru Sagar,+91 9972368854,"Shubashree Complex, 50 Feet Road, 1st Stage, Hanumanthanagar, Near Girinagar, Banashankari, Bangalore",3.6/5,Quick Bites,Yes,No,Banashankari,84
208,Chung's Chinese Corner,"080 26644700
080 41211700","295, Sri Krishna Complex, 10th Main, 3rd Block, Jayanagar, Bangalore",3.9/5,Casual Dining,Yes,No,Banashankari,221
209,Biryani Miya,080 49652509,"175-176, Bannerghatta Main Road, Dollars Colony, Behind Vodafone Store, Phase 4, JP Nagar, Bangalore",3.7/5,Delivery,Yes,No,Bannerghatta Road,36
210,McDonald's,"080 66000666
080 42005285","2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",3.9/5,Quick Bites,Yes,No,Banashankari,286
211,Shanghai Court,080 42086199,"1035, 5th Cross, 13th Main, Vijaya Bank Layout, Bannerghatta Road, Bangalore",4.2/5,Casual Dining,Yes,No,Bannerghatta Road,421
212,1947,"080 41261947
+91 9739989453","62, The High Street Building, 5th Floor, 4T Block, Opposite Vijaya College, Jayanagar, Bangalore",4.1/5,Casual Dining,No,Yes,Basavanagudi,2303
213,Hiyar Majhe Kolkata,"+91 9108919806
+91 9739059571","57/1, Near Alliance University, 19th Cross, 7th Main, 2nd Stage, BTM, Bangalore",4.0/5,Quick Bites,Yes,No,Bannerghatta Road,244
214,The Coastal Crew by Fujian on 24th,"080 26499444
+91 8951516623","25/1, Near Sampoorna, 24th Main, 5th Phase, JP Nagar, Bangalore",4.2/5,"Casual Dining, Bar",Yes,Yes,Bannerghatta Road,1028
215,Desi Wok,"+91 9620133223
+91 9620033223","251/1009, Near Vijaya Bank Layout, Bilekahalli, 4th Stage, BTM, Bangalore",2.7/5,Quick Bites,No,No,Bannerghatta Road,76
216,Soho Bar & Grill,"080 41609445
080 41609443","31 South Park Hotel, 198, 2nd & 3rd Floor, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",2.7/5,Pub,No,No,Banashankari,377
217,Crumb Together,080 49652428,"45, 100 Feet Road, Opposite Mandovi Motors, 4th Phase, JP Nagar, Bangalore",4.1/5,"Casual Dining, Bar",Yes,Yes,Bannerghatta Road,585
218,Cafe Aira,"+91 9980570955
080 41121975","23, Kanakapura Road, Near SRS Petrol Pump, Lalbagh West Gate, Basavanagudi, Bangalore",4.1/5,Cafe,Yes,No,Banashankari,216
219,Royal Chef Naati Oota,"080 26589000
+91 9980074663","312, 15th cross, 5th phase, JP Nagar, Bangalore",4.0/5,Casual Dining,No,No,Bannerghatta Road,193
220,Pizza Hut,080 39883988,"8, Arikere Gate, Bannerghatta Road, Bangalore",2.4/5,Quick Bites,Yes,No,Bannerghatta Road,204
221,Waah Biryani,+91 9008812888,"41, Near Royal School, 24th Main, JP Nagar, Bangalore",3.8/5,Quick Bites,No,No,Bannerghatta Road,115
222,Elegant Dining,"+91 9900900063
+91 9916087820","9/10/9/1, Hulimavu Begur Road, 80 Ft Road, Near DLF Township, Bannerghatta Road, Bangalore",3.6/5,Casual Dining,Yes,Yes,Bannerghatta Road,225
223,Vi Ra's Bar and Restaurant,"+91 9845063930
+91 7411148111","3828, Near Deve Gowda Petrol Bunk, 30th Cross, 3rd Stage, Banashankari, Bangalore",3.3/5,Bar,No,No,Banashankari,62
224,Dreamcatcher,"+91 7090470823
+91 7996623818","128/54/10, Ground Floor, Opposite IIM - B, above A2B Dasarapalya, Bannerghatta Road, Bangalore",3.9/5,Cafe,Yes,No,Bannerghatta Road,49
225,Crumb Together,080 49652428,"45, 100 Feet Road, Opposite Mandovi Motors, 4th Phase, JP Nagar, Bangalore",4.1/5,"Casual Dining, Bar",Yes,Yes,Bannerghatta Road,583
226,A2B - Adyar Ananda Bhavan,"080 26746999
080 26748999","153, Satellite Bus Stand, Byataranyapura, Mysore Road, Bangalore",3.8/5,Casual Dining,Yes,No,Banashankari,155
227,Cafe Kabana,"+91 8884044348
+91 8762989999","1, Pai Layout, Hulimavu Gate Main Road, Off Bannerghatta Road, Bangalore.",4.0/5,Cafe,No,Yes,Bannerghatta Road,200
228,Dilish Kitchens,+91 7353133336,"20, 6th Cross, 4th A Main, N.S Palya, Dollors Colony, BTM 2nd Stage, Bangalore, BTM, Bangalore",3.7/5,Casual Dining,No,No,Bannerghatta Road,28
229,Vi Ra's Bar and Restaurant,"+91 9845063930
+91 7411148111","3828, Near Deve Gowda Petrol Bunk, 30th Cross, 3rd Stage, Banashankari, Bangalore",3.3/5,Bar,No,No,Banashankari,62
230,Cafe Ajfan,"+91 7022022107
+91 9606791771","Shop 66/1, 4th Block, Near Maiys Hotel, 33rd Cross Road, Jayanagar, Bangalore",4.2/5,Cafe,Yes,No,Basavanagudi,261
231,Eat Repeat,"+91 9945607074
+91 9880308011","13, 4th Cross Road, NR Colony, Basavanagudi, Bengaluru",3.9/5,Quick Bites,Yes,No,Banashankari,101
232,Onesta,"+91 8904001150
+91 8904001151","Site 15, 15th Cross, 100 Feet Road, 4th Phase, JP Nagar, Bangalore",4.4/5,"Casual Dining, Cafe",Yes,Yes,Bannerghatta Road,4381
233,Dilish Kitchens,+91 7353133336,"20, 6th Cross, 4th A Main, N.S Palya, Dollors Colony, BTM 2nd Stage, Bangalore, BTM, Bangalore",3.7/5,Casual Dining,No,No,Bannerghatta Road,28
234,Petoo,+91 9108829009,"31, 7th Phase, JP Nagar, Bangalore",3.7/5,Casual Dining,No,No,Bannerghatta Road,48
235,Biryani Durbar,080 49652102,"452, 2nd Main, 8th Cross, Lakshmi Layout, Mico Layout, Arakere, Bannerghatta Road, Bangalore",3.7/5,"Takeaway, Delivery",Yes,No,Bannerghatta Road,128
236,New Prashanth Hotel,"080 49569558
+91 8197819686","43/2, 100 Feet Road, Kamakya Complex, 3rd Stage, Banashankari, Bangalore",3.9/5,Casual Dining,Yes,No,Banashankari,388
237,New Kabab Plaza,+91 8861117766,"8, 19th Cross, 7th Main, BTM Layout, 2nd Stage, BTM, Bangalore",3.7/5,Casual Dining,Yes,No,Bannerghatta Road,135
238,Funky Punjab,"+91 7829391919
+91 7760686868","123(2), 24th Main, 5th Phase, Opposite To Royal High School, JP Nagar, Bangalore",3.9/5,Casual Dining,Yes,No,Bannerghatta Road,407
239,Penthouse Cafe,"+91 8884135549
+91 9449449316","1, 30th Main Road, 3rd Stage, Banashankari, Bangalore",4.0/5,Cafe,Yes,No,Banashankari,324
240,Eurasia Pasta and Barbeque by Little Italy,"080 22452202
080 22452203","12, 32nd Cross, 7th Block, Jayanagar, Bangalore",4.1/5,"Casual Dining, Bar",Yes,Yes,Banashankari,1063
241,Adithya,080 49652760,"37, Diagonally Opposite Ranga Shankara, 2nd Phase, JP Nagar, Bangalore",4.0/5,Quick Bites,Yes,No,Basavanagudi,332
242,Ragoo's,"080 26762888
080 26763888","16, 5th B Main, KR Road, Jayanagar, Bangalore",3.9/5,Casual Dining,Yes,No,Banashankari,233
243,Cafe Kabana,"+91 8884044348
+91 8762989999","1, Pai Layout, Hulimavu Gate Main Road, Off Bannerghatta Road, Bangalore.",4.0/5,Cafe,No,Yes,Bannerghatta Road,200
244,Tandoor Garden,+91 9141678224,"5, 100 Feet Ring Road, Opposite Reliance Fresh, 1st Stage, BTM, Bangalore",3.6/5,Quick Bites,Yes,No,Bannerghatta Road,70
245,Rooftop Cafe,"080 26544411
+91 8050712836","16/33, 11th Main, 4th Block, Geetha Colony, Jayanagar, Bangalore",4.1/5,Cafe,Yes,No,Basavanagudi,796
246,Subz,080 49652607,"Cosmopolitan Club, Ground Floor, 22nd Cross, 3rd Block, Jayanagar, Bengalore",4.2/5,Casual Dining,Yes,Yes,Basavanagudi,2022
247,Frozen Bottle,080 48664811,"2477, 24th Cross Road, Siddanna Layout, Stage 2, Banashankari, Bangalore",4.2/5,Beverage Shop,Yes,No,Banashankari,146
248,Grazers,080 26650668,"2, Old 36, 8th F Main, 3rd Block, Jayanagar, Bangalore",3.9/5,Cafe,Yes,Yes,Basavanagudi,291
249,Cafe Arabica,"080 64442444
+91 8050042444","4, 1st Cross, Christ School Road, Bhavani Layout, Bannerghatta Road, Bangalore",3.8/5,"Cafe, Bakery",No,No,Bannerghatta Road,69
250,Chavadi,080 49653031,"4, Arama Suites, Sarvabhouma Nagar, Off Bannerghatta Road, Bannerghatta Road, Bangalore",4.4/5,"Casual Dining, Bar",Yes,Yes,Bannerghatta Road,2237
251,Kanteen The Eatery,080 43749430,"22, Nyanapanahalli Main Road, Opposite Dominos Road, Before New DLF Township Circle, Bannerghatta Road, Bangalore",3.9/5,Quick Bites,Yes,No,Bannerghatta Road,78
252,Green Gardenia,"080 26698822
+91 9945704570","376, 1st Floor, Tripura Arcade, MK Puttalingaiah Road, Above SBI Bank, Banashankari, Bangalore",3.8/5,Casual Dining,Yes,No,Banashankari,160
253,Caffe Pascucci,080 41200431,"690/8, 14th Main, 15th Cross, 2nd Phase, JP Nagar, Bangalore",4.0/5,Casual Dining,Yes,Yes,Bannerghatta Road,790
254,Meghana Foods,080 49653564,"52, 1st Floor, 33rd Cross, 4th Block, Jayanagar, Bangalore",4.4/5,Casual Dining,Yes,No,Banashankari,4401
255,Brews N Bites,+91 9886791151,"81/3/4, 5th Cross, Opposite Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",2.7/5,"Quick Bites, Cafe",Yes,No,Bannerghatta Road,48
256,Firangi Bake,+91 7710090007,"8th Main Road, Remco Bhel Layout, Ideal Homes Township, Rajarajeshwari Nagar, Bengaluru",4.0/5,Delivery,Yes,No,Banashankari,53
257,Kamat Swaad,"+91 9686111608
+91 9448452341","795, 8th Main, 3rd Phase, JP Nagar, Bangalore",3.9/5,Casual Dining,Yes,No,Bannerghatta Road,193
258,Tiwari's,"+91 9844734325
+91 9844400514","39/3 &44, Spar Hypermarket, Bannerghatta Mmain Road, Bannerghatta Road, Bangalore",3.9/5,Quick Bites,Yes,No,Bannerghatta Road,75
259,Vaathsalya Millet Cafe,"+91 9449064494
+91 8125995641","277, 15th Cross, 21 Main, Outer Ring Road, JP Nagar 5th Phase, JP Nagar, Bangalore",4.1/5,Casual Dining,Yes,Yes,Bannerghatta Road,293
260,Matka,+91 9513366655,"6185/ 15/1, SOS, Doddakamanahalli, Bannerghatta Road, Bangalore",3.7/5,Delivery,Yes,No,Bannerghatta Road,181
261,Slate Cafe,+91 8040923832,"5th Cross Road, Dollar Layout, 3rd Phase, JP Nagar, Bangalore",4.1/5,Cafe,Yes,No,Bannerghatta Road,46
262,Ugadi,+91 9742231320,"609, 10th A Main Road, 4th Block, Jayanagar, Bangalore",2.9/5,Casual Dining,Yes,No,Banashankari,177
263,Stoned Monkey,+91 9972710694,"290, 15th Cross, 5th phase, JP Nagar, Bangalore",3.9/5,Dessert Parlor,Yes,No,Bannerghatta Road,239
264,Chatar Patar,+91 7619353103,"24/1, 23rd Cross, 6th Main Road, Opposite Kaveri Grameena Bank, 2nd Stage, Banashankari, Bangalore",3.7/5,Quick Bites,No,No,Banashankari,65
265,Vidyarthi Bhavan,080 26677588,"32, Gandhi Bazaar, Near Gandhi Bazaar Circle, Basavanagudi, Bangalore",4.4/5,Quick Bites,No,No,Banashankari,4460
266,Chai Point,+91 8880141000,"Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",3.6/5,"Beverage Shop, Quick Bites",Yes,No,Bannerghatta Road,132
267,The Coffee Shack,+91 9731644212,"6th Block, 3rd Stage, Banashankari, Bangalore",4.2/5,Cafe,Yes,Yes,Banashankari,164
268,Cravings,+91 9986624240,"Shop 11& 12, First Floor, 3618/1, Dodda Kammanahalli, Main Road, Besides Campus Student Communities Building, Bangalore",3.7/5,Quick Bites,Yes,No,Bannerghatta Road,139
269,Shiv Sagar,"080 26483631
080 26483632","4th Floor, Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",2.9/5,Quick Bites,No,No,Bannerghatta Road,85
270,Waffle Head,080 49653258,"24, 3rd 'B' Cross, 7th Cross, 18th Main, 2nd Stage, BTM, Bangalore",4.0/5,"Dessert Parlor, Beverage Shop",Yes,No,Bannerghatta Road,35
271,Black Mug Cafe,"+91 9845561119
+91 8095257151","1-2, Near Bhaganagar Bus Stop, Shankarnaga Road, Bhaganagar Layout, Gottigere, Bannerghatta Road, Bangalore",3.7/5,Cafe,Yes,No,Bannerghatta Road,171
272,Roti Wala,+91 9731100002,"688, 7th Main, 10th Cross Main Road, 2nd Stage, BTM, Bangalore",4.0/5,Quick Bites,Yes,No,Bannerghatta Road,197
273,Kundana,080 49652729,"176, 1st Floor, Above Vodafone Store, Opposite Brand Factory, Bannerghatta Road, Bangalore",3.7/5,Casual Dining,Yes,No,Bannerghatta Road,110
274,Tree Top,080 49652744,"Temple Tree Hotel, 3, 9th Cross, Wilson Garden, Bangalore",3.8/5,Casual Dining,Yes,No,Basavanagudi,74
275,The Biryani Cafe,+91 7010846043,"476, 2nd Floor, 9th Cross, Avalahalli BDA Park, BSK 3rd Stage, Banashankari, Bangalore",4.1/5,Quick Bites,No,No,Banashankari,520
276,Wamama,"+91 8042111599
+91 8971818009","2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",4.2/5,Casual Dining,Yes,Yes,Basavanagudi,354
277,Hiyar Majhe Kolkata,"+91 9108919806
+91 9739059571","57/1, Near Alliance University, 19th Cross, 7th Main, 2nd Stage, BTM, Bangalore",4.0/5,Quick Bites,Yes,No,Bannerghatta Road,244
278,The Chocolate Room,080 42112381,"45/1, 45/2, Bangalore Central, 45th Cross, 9th Block, Jayanagar, Bangalore",3.9/5,Food Court,Yes,No,Bannerghatta Road,153
279,Basavanagudi Mylari,+91 9880623407,"26/2, Bugle Rock Rd, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka",4.0/5,Quick Bites,No,No,Banashankari,52
280,Puliyogare Point,"+91 9986953484
+91 9880156235","81, East Anjaneya Street, NR Colony, Near Basavanagudi, Basavanagudi, Bangalore",4.2/5,Quick Bites,Yes,No,Banashankari,444
281,Peppy Peppers,"+91 8042297555
+91 7022455300","942, 3rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",4.2/5,Casual Dining,No,No,Banashankari,244
282,Casa Piccosa,"080 39510999
080 26538999","745/AB, 2nd Floor, Shravanee Square, 24th Main, 15th cross, 6th Phase, JP Nagar, Bangalore",4.1/5,"Casual Dining, Bar",Yes,Yes,Bannerghatta Road,842
283,Chocoberry,+91 9742644747,"30, 8th F Main Road, Jayanagar, Bangalore",3.5/5,Dessert Parlor,Yes,No,Banashankari,56
284,Hind Ka Chulah,"+91 9738933467
+91 8970646882","Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",3.8/5,Food Court,Yes,No,Bannerghatta Road,181
285,#refuel,+91 8971227222,"7, Ground Floor, RR Commercial Complex, Akshay Nagar, Bannerghatta Road, Bangalore",3.7/5,Cafe,Yes,No,Bannerghatta Road,37
286,Pramukh Family Restaurant,"080 26622484
+91 8970968889","5, 1st Floor, Mallariah Complex, Gandhi Bazar Main Road, Basavanagudi, Bangalore",3.9/5,Casual Dining,No,No,Banashankari,111
287,Hotel Aradhana,"+91 9731763663
+91 9448059620","193, N.S. Pallya, Bannerghatta Road, Bangalore",3.7/5,Quick Bites,Yes,No,Bannerghatta Road,51
288,Smacznego,"+91 9945230807
+91 9743804471","2470, 21 Main Road, 25th Cross, Banashankari, Bangalore",4.2/5,Cafe,Yes,No,Basavanagudi,504
289,Skytouch Le Cafe,"080 40932483
+91 9740848803","724, 3rd Floor, RBI Layout, Rini Pearl, Opposite E.K. Retail, 7th Phase, JP Nagar, Bangalore",3.7/5,Cafe,Yes,No,Bannerghatta Road,127
290,Goa 0 Km,080 49653548,"1828, 50 Feet Road, 2nd Stage, Kumaraswamy Layout, Bangalore",3.6/5,Casual Dining,Yes,Yes,Banashankari,163
291,WAFL,+91 8951725759,"3rd Floor, Food Court, Vega City Mall, Srinivas Industrial Estate, Bannerghatta Road, Bangalore",3.9/5,Food Court,Yes,No,Bannerghatta Road,40
292,Le Arabia,+91 8041410082,"15, Bannerghatta Main Road, JP Nagar, Bangalore",NEW,Casual Dining,Yes,No,Bannerghatta Road,0
293,Puliyogare Point,"+91 9986953484
+91 9880156235","81, East Anjaneya Street, NR Colony, Near Basavanagudi, Basavanagudi, Bangalore",4.2/5,Quick Bites,Yes,No,Basavanagudi,444
294,Iyer's Tiffin Centre,+91 9986669388,"38/2, 1st Main, Mount Joy Extension, Hanumanthanagar, Girinagar, Banashankari, Bangalore",3.8/5,Quick Bites,No,No,Banashankari,62
295,Jalpaan,"080 26761992
+91 9591996826","539/49, 9th Cross, Kanakpura Road, 7th Block, Jayanagar, Bangalore",4.0/5,Casual Dining,Yes,Yes,Banashankari,866
296,Shagun Sweets & Foods,"080 42277117
+91 9108457117","294, 7th Main, 7th Cross, BTM 2nd Stage, BTM, Bangalore",3.5/5,"Sweet Shop, Quick Bites",Yes,No,Bannerghatta Road,221
